doc id,subcorpus,seeds,date,annotator,conspiracy,relatedness
C00088,conspiracy,coronavirus,2020-04-08,Majority,N,C
C00098,conspiracy,coronavirus,NULL,Majority,N,C
C000a1,conspiracy,coronavirus,2020-03-22,Majority,Y,C
C000c7,conspiracy,coronavirus,NULL,Majority,N,C
C000f3,conspiracy,coronavirus,NULL,Majority,N,C
C00112,conspiracy,coronavirus,2020-05-20,Majority,N,C
C00118,conspiracy,coronavirus,NULL,Majority,Y,C
C00135,conspiracy,coronavirus,2017-07-26,Majority,N,N
C00156,conspiracy,coronavirus,2020-01-30,Majority,N,C
C00175,conspiracy,coronavirus,NULL,Majority,N,C
C001d1,conspiracy,coronavirus,NULL,Majority,N,C
C001e3,conspiracy,coronavirus,NULL,Majority,N,N
C001eb,conspiracy,coronavirus,NULL,Majority,N,C
C001ef,conspiracy,coronavirus,2019-11-26,Majority,Y,N
C00226,conspiracy,coronavirus,2020-01-28,Majority,N,C
C0022f,conspiracy,coronavirus,NULL,Majority,Y,C
C00233,conspiracy,coronavirus,NULL,Majority,Y,C
C002af,conspiracy,coronavirus,2020-05-12,Majority,Y,C
C002b3,conspiracy,coronavirus,2020-03-16,Majority,Y,C
C002b6,conspiracy,coronavirus,2020-05-09,Majority,N,B
C002e6,conspiracy,coronavirus,2020-04-10,ANN1,N,C
C0034f,conspiracy,coronavirus,2020-04-05,ANN1,N,N
C00352,conspiracy,coronavirus,NULL,ANN1,N,B
C00391,conspiracy,coronavirus,NULL,ANN1,N,C
C00395,conspiracy,coronavirus,2020-04-16,ANN1,Y,C
C0043b,conspiracy,coronavirus,2020-02-07,ANN1,Y,C
C0043f,conspiracy,coronavirus,2020-05-13,ANN1,N,C
C00447,conspiracy,coronavirus,2020-04-09,ANN1,N,B
C00473,conspiracy,coronavirus,2019-08-22,ANN1,N,N
C00481,conspiracy,coronavirus,2020-05-07,ANN1,N,C
C00491,conspiracy,coronavirus,2020-04-28,ANN1,Y,C
C004b0,conspiracy,coronavirus,2020-03-08,ANN1,N,C
C004cb,conspiracy,coronavirus,NULL,ANN1,N,C
C004f4,conspiracy,coronavirus,NULL,ANN1,N,C
C00537,conspiracy,coronavirus,2020-05-12,ANN1,Y,C
C00545,conspiracy,coronavirus,NULL,ANN1,N,C
C0056a,conspiracy,coronavirus,2020-04-11,ANN1,N,C
C005e7,conspiracy,coronavirus,2020-05-12,ANN1,Y,C
C006be,conspiracy,coronavirus,NULL,ANN1,N,C
C006d2,conspiracy,coronavirus,2020-04-06,ANN1,N,C
C006fe,conspiracy,coronavirus,2020-05-06,ANN1,N,C
C00711,conspiracy,coronavirus,2020-04-15,ANN1,N,C
C00766,conspiracy,coronavirus,NULL,ANN1,N,C
C00792,conspiracy,coronavirus,NULL,ANN1,Y,C
C007cf,conspiracy,coronavirus,2020-03-27,ANN1,N,C
C007eb,conspiracy,coronavirus,2020-03-20,ANN1,Y,C
C00890,conspiracy,coronavirus,NULL,ANN1,N,C
C008aa,conspiracy,coronavirus,2020-01-30,ANN1,N,C
C008ba,conspiracy,coronavirus,NULL,ANN1,Y,C
C008fa,conspiracy,coronavirus,NULL,ANN2,N,C
C00901,conspiracy,coronavirus,2020-05-06,ANN2,N,C
C00906,conspiracy,coronavirus,NULL,ANN2,N,C
C00934,conspiracy,coronavirus,2020-05-05,ANN2,Y,C
C00983,conspiracy,coronavirus,NULL,ANN2,Y,C
C009c4,conspiracy,coronavirus,NULL,ANN2,Y,C
C00a36,conspiracy,coronavirus,2020-03-13,ANN2,Y,C
C00a40,conspiracy,coronavirus,NULL,ANN2,N,N
C00a52,conspiracy,coronavirus,2020-04-03,ANN2,Y,C
C00a7d,conspiracy,coronavirus,2020-04-16,ANN2,N,C
C00ac7,conspiracy,coronavirus,2020-04-08,ANN2,N,C
C00b36,conspiracy,coronavirus,2020-03-31,ANN2,N,C
C00b47,conspiracy,coronavirus,NULL,ANN2,Y,C
C00b9a,conspiracy,coronavirus,NULL,ANN2,N,N
C00bb6,conspiracy,coronavirus,2020-03-20,ANN2,Y,C
C00bc5,conspiracy,coronavirus,2020-03-27,ANN2,N,C
C00c31,conspiracy,coronavirus,NULL,ANN2,N,N
C00c3f,conspiracy,coronavirus,2020-05-05,ANN2,Y,C/B
C00c5b,conspiracy,coronavirus,2020-02-18,ANN2,Y,C
C00c68,conspiracy,coronavirus,2020-03-23,ANN2,N,B
C00c7b,conspiracy,coronavirus,2020-04-06,ANN2,N,B
C00cc0,conspiracy,coronavirus,2017-11-29,ANN2,Y,N
C00d5a,conspiracy,coronavirus,2020-03-27,ANN2,N,B
C00d96,conspiracy,coronavirus,NULL,ANN2,N,C
C00d97,conspiracy,coronavirus,NULL,ANN2,N,N
C00da0,conspiracy,coronavirus,2020-04-14,ANN2,N,C
C00db0,conspiracy,coronavirus,NULL,ANN2,N,C
C00dc3,conspiracy,coronavirus,2020-05-05,ANN2,N,B
C00dd9,conspiracy,coronavirus,2020-05-08,ANN2,N,C
C00deb,conspiracy,coronavirus,2020-03-16,ANN2,N,C
C00df4,conspiracy,coronavirus,2020-04-05,ANN3,N,C
C00e92,conspiracy,coronavirus,2020-03-18,ANN3,N,C
C00ec3,conspiracy,coronavirus,2020-05-13,ANN3,N,N
C00ecf,conspiracy,coronavirus,NULL,ANN3,N,C
C00edd,conspiracy,coronavirus,2020-04-24,ANN3,Y,C
C00edf,conspiracy,coronavirus,2020-04-21,ANN3,N,C
C00f10,conspiracy,coronavirus,2020-05-03,ANN3,Y?,C
C00f36,conspiracy,coronavirus,NULL,ANN3,N,C
C00f6c,conspiracy,coronavirus,2020-05-12,ANN3,Y,C
C00f8a,conspiracy,coronavirus,2020-04-01,ANN3,Y,C
C00fe4,conspiracy,coronavirus,2020-04-07,ANN3,Y,C
C00ff6,conspiracy,coronavirus,2020-03-17,ANN3,N,C
C0100e,conspiracy,coronavirus,2020-05-21,ANN3,Y,C
C010c0,conspiracy,coronavirus,2020-06-08,ANN3,N,C
C01164,conspiracy,coronavirus,2020-04-06,ANN3,Y,C
C01167,conspiracy,coronavirus,2020-02-27,ANN3,Y,C
C0117a,conspiracy,coronavirus,NULL,ANN3,N,N
C01180,conspiracy,coronavirus,NULL,ANN3,N,C
C01199,conspiracy,coronavirus,NULL,ANN3,Y,C
C011dd,conspiracy,coronavirus,NULL,ANN3,Y,C
C011df,conspiracy,coronavirus,2020-05-08,ANN3,Y,C
C01247,conspiracy,coronavirus,NULL,ANN3,Y,C
C0126f,conspiracy,coronavirus,NULL,ANN3,N,C
C01272,conspiracy,coronavirus,2020-01-30,ANN3,N,C
C01281,conspiracy,coronavirus,2020-05-19,ANN3,N,C
C01289,conspiracy,coronavirus,NULL,ANN3,N,C
C012ae,conspiracy,coronavirus,2020-04-20,ANN3,Y,C
C0131e,conspiracy,coronavirus,NULL,ANN3,N,N
C01329,conspiracy,coronavirus,2020-03-01,ANN3,N,C
C01334,conspiracy,coronavirus,NULL,ANN3,Y,C
C01337,conspiracy,coronavirus,2020-03-11,ANN4,N,C
C01340,conspiracy,coronavirus,2020-02-10,ANN4,Y,C
C01341,conspiracy,coronavirus,2020-03-22,ANN4,N,C
C0135e,conspiracy,coronavirus,2020-05-21,ANN4,Y,C
C0136d,conspiracy,coronavirus,2020-03-18,ANN4,N,C
C01398,conspiracy,coronavirus,NULL,ANN4,N,C
C013cf,conspiracy,coronavirus,2020-04-04,ANN4,N,C
C013fd,conspiracy,coronavirus,2020-02-19,ANN4,N,C
C0142e,conspiracy,coronavirus,2020-03-12,ANN4,N,C
C01445,conspiracy,coronavirus,2020-04-13,ANN4,Y,C
C01458,conspiracy,coronavirus,2020-04-08,ANN4,N,C
C014b0,conspiracy,coronavirus,2020-05-01,ANN4,N,N
C014fd,conspiracy,coronavirus,NULL,ANN4,Y,C
C01516,conspiracy,coronavirus,2020-05-19,ANN4,N,C
C01576,conspiracy,coronavirus,2020-04-01,ANN4,N,C
C0157f,conspiracy,coronavirus,2020-04-03,ANN4,N,C
C015d4,conspiracy,coronavirus,2020-04-13,ANN4,N,C
C0163c,conspiracy,coronavirus,2020-02-09,ANN4,Y,C
C01688,conspiracy,coronavirus,NULL,ANN4,Y,C
C016af,conspiracy,coronavirus,2020-04-01,ANN4,N,B
C016e9,conspiracy,coronavirus,2015-01-12,ANN4,N,N
C016eb,conspiracy,coronavirus,NULL,ANN4,Y,C
C01782,conspiracy,coronavirus,2020-02-08,ANN4,N,B
C017f3,conspiracy,coronavirus,2020-04-02,ANN4,N,C
C01812,conspiracy,coronavirus,2020-01-31,ANN4,N,C
